epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,10889.9,0.65326,0.3153,0.8425,0.9799,0.98292,0.99337,0.86614,0.63488,0.2918,0.8372,0.0010595,0.0010595,0.0010595
97,11005.3,0.65574,0.31674,0.84574,0.97997,0.98975,0.99386,0.86643,0.61805,0.28256,0.83288,0.0010496,0.0010496,0.0010496
98,11120.4,0.65445,0.31302,0.8444,0.97631,0.98539,0.9931,0.86749,0.62705,0.28514,0.83519,0.0010397,0.0010397,0.0010397
99,11233.7,0.64985,0.31775,0.84092,0.97181,0.98917,0.99355,0.86631,0.61963,0.28229,0.83335,0.0010298,0.0010298,0.0010298
100,11347.2,0.64112,0.30769,0.84093,0.97766,0.9863,0.99363,0.86732,0.62378,0.28155,0.83547,0.0010199,0.0010199,0.0010199
101,11462.8,0.64032,0.31128,0.83847,0.983,0.98087,0.99372,0.86933,0.61426,0.27942,0.83267,0.00101,0.00101,0.00101
102,11578.1,0.63626,0.31145,0.84276,0.98146,0.98566,0.99374,0.86657,0.62255,0.28367,0.83396,0.0010001,0.0010001,0.0010001
103,11691.6,0.63203,0.30827,0.84024,0.97894,0.98497,0.99388,0.86298,0.6382,0.28495,0.83836,0.0009902,0.0009902,0.0009902
104,11805.4,0.64729,0.30995,0.84282,0.97893,0.98395,0.99368,0.8742,0.61366,0.28601,0.8334,0.0009803,0.0009803,0.0009803
105,11920.4,0.64938,0.31602,0.84475,0.98049,0.98566,0.99389,0.87064,0.62082,0.27782,0.83463,0.0009704,0.0009704,0.0009704
106,12035.2,0.63547,0.31141,0.83614,0.97948,0.9918,0.9939,0.87103,0.61466,0.2755,0.83224,0.0009605,0.0009605,0.0009605
107,12150.7,0.64069,0.3086,0.83721,0.98011,0.98634,0.9937,0.86358,0.6385,0.28742,0.83844,0.0009506,0.0009506,0.0009506
108,12264.7,0.63308,0.30336,0.83893,0.97576,0.98634,0.99362,0.86317,0.62167,0.28289,0.83424,0.0009407,0.0009407,0.0009407
109,12378.8,0.64098,0.30986,0.84013,0.97885,0.99044,0.99391,0.87108,0.61331,0.28319,0.83158,0.0009308,0.0009308,0.0009308
110,12494.1,0.64001,0.30558,0.84012,0.98103,0.98902,0.99383,0.87168,0.61574,0.27309,0.8321,0.0009209,0.0009209,0.0009209
111,12608.9,0.633,0.29896,0.83842,0.97944,0.98702,0.99368,0.87203,0.61512,0.27906,0.83376,0.000911,0.000911,0.000911
112,12723.3,0.6192,0.29938,0.83407,0.97449,0.98839,0.99344,0.86948,0.6161,0.28087,0.83239,0.0009011,0.0009011,0.0009011
113,12837.6,0.63233,0.30658,0.83766,0.97474,0.99112,0.99358,0.86939,0.62259,0.27707,0.83433,0.0008912,0.0008912,0.0008912
114,12952.5,0.64572,0.31327,0.84409,0.97195,0.9918,0.99354,0.86271,0.63443,0.27888,0.83748,0.0008813,0.0008813,0.0008813
115,13067.8,0.64271,0.30138,0.83902,0.97563,0.9918,0.99393,0.86866,0.6249,0.27693,0.83556,0.0008714,0.0008714,0.0008714
116,13183.4,0.64129,0.30273,0.84032,0.97428,0.99317,0.99393,0.86954,0.61653,0.27114,0.83243,0.0008615,0.0008615,0.0008615
117,13298.1,0.62919,0.30255,0.83505,0.9817,0.98429,0.99365,0.86997,0.61752,0.27787,0.83385,0.0008516,0.0008516,0.0008516
118,13412.2,0.62354,0.29956,0.83644,0.9796,0.98412,0.9938,0.86021,0.64712,0.27989,0.83847,0.0008417,0.0008417,0.0008417
119,13527.4,0.62986,0.29905,0.83829,0.97849,0.9918,0.99407,0.86804,0.61349,0.27211,0.83232,0.0008318,0.0008318,0.0008318
120,13642.9,0.63255,0.30017,0.83802,0.98386,0.98292,0.99386,0.86437,0.62857,0.2776,0.83408,0.0008219,0.0008219,0.0008219
121,13757.3,0.63036,0.29813,0.83552,0.97839,0.98497,0.99377,0.86807,0.62402,0.27401,0.83422,0.000812,0.000812,0.000812
122,13871.3,0.62868,0.29708,0.8345,0.98298,0.98613,0.99387,0.87277,0.60789,0.26815,0.8312,0.0008021,0.0008021,0.0008021
123,13986.5,0.61832,0.29329,0.83355,0.9764,0.98893,0.99358,0.86581,0.61875,0.27696,0.83471,0.0007922,0.0007922,0.0007922
124,14101.4,0.62143,0.29661,0.83601,0.97444,0.98943,0.99376,0.86584,0.62041,0.2769,0.83351,0.0007823,0.0007823,0.0007823
125,14216.6,0.61921,0.29604,0.83753,0.97834,0.98716,0.99349,0.86771,0.62356,0.28062,0.83402,0.0007724,0.0007724,0.0007724
126,14330.4,0.61862,0.29442,0.83542,0.97903,0.9888,0.99369,0.86903,0.61997,0.27353,0.83377,0.0007625,0.0007625,0.0007625
127,14444,0.61718,0.29545,0.83428,0.9725,0.99045,0.99369,0.86732,0.62405,0.27814,0.83392,0.0007526,0.0007526,0.0007526
128,14558.5,0.63091,0.29865,0.83738,0.98176,0.9877,0.99379,0.86875,0.62504,0.28139,0.83477,0.0007427,0.0007427,0.0007427
129,14674.5,0.61933,0.29666,0.83621,0.97709,0.99041,0.99375,0.87234,0.61111,0.26894,0.83287,0.0007328,0.0007328,0.0007328
130,14789.4,0.61566,0.29298,0.84545,0.97898,0.98907,0.9938,0.87054,0.61845,0.27789,0.83256,0.0007229,0.0007229,0.0007229
131,14903.2,0.6191,0.29465,0.83989,0.97513,0.98839,0.99368,0.87082,0.60958,0.26982,0.83176,0.000713,0.000713,0.000713
132,15017.7,0.61563,0.29575,0.83418,0.97385,0.99214,0.99367,0.87025,0.61395,0.27078,0.83076,0.0007031,0.0007031,0.0007031
133,15131.8,0.61432,0.29115,0.83442,0.98247,0.98224,0.99355,0.87201,0.61017,0.26911,0.83178,0.0006932,0.0006932,0.0006932
134,15246.1,0.62289,0.29128,0.83878,0.96991,0.99089,0.99302,0.86677,0.61321,0.2736,0.83199,0.0006833,0.0006833,0.0006833
135,15360.6,0.60528,0.28683,0.83368,0.97709,0.99062,0.99359,0.86969,0.61049,0.26887,0.83131,0.0006734,0.0006734,0.0006734
136,15475.5,0.60294,0.2897,0.83253,0.98552,0.98224,0.99388,0.86952,0.61045,0.2725,0.8309,0.0006635,0.0006635,0.0006635
137,15589.7,0.61527,0.29216,0.83608,0.97793,0.9877,0.99368,0.87105,0.6107,0.26701,0.83114,0.0006536,0.0006536,0.0006536
138,15704.8,0.61201,0.29164,0.83862,0.98061,0.98497,0.99375,0.86665,0.62723,0.27662,0.83555,0.0006437,0.0006437,0.0006437
139,15819.1,0.6088,0.2895,0.83242,0.98437,0.98429,0.9936,0.87385,0.60529,0.26255,0.83209,0.0006338,0.0006338,0.0006338
140,15933.2,0.60527,0.28727,0.82901,0.97514,0.99138,0.9936,0.8671,0.62311,0.2759,0.83391,0.0006239,0.0006239,0.0006239
141,16047.2,0.59976,0.28526,0.83396,0.97123,0.99044,0.9937,0.87003,0.61082,0.26865,0.8325,0.000614,0.000614,0.000614
142,16161.4,0.60447,0.2855,0.83328,0.97635,0.98688,0.9936,0.8703,0.61568,0.27083,0.83191,0.0006041,0.0006041,0.0006041
143,16277.1,0.60611,0.28857,0.83095,0.97699,0.98612,0.9935,0.87307,0.61494,0.27293,0.83354,0.0005942,0.0005942,0.0005942
144,16391.8,0.61315,0.28804,0.83413,0.97752,0.98361,0.9935,0.87345,0.61507,0.26966,0.83107,0.0005843,0.0005843,0.0005843
145,16505.8,0.59939,0.2839,0.83321,0.97656,0.98702,0.99352,0.87427,0.6115,0.26847,0.83242,0.0005744,0.0005744,0.0005744
146,16620.2,0.60834,0.28607,0.83274,0.97644,0.99093,0.99377,0.87123,0.61709,0.26804,0.83318,0.0005645,0.0005645,0.0005645
147,16735,0.60656,0.28543,0.83513,0.97583,0.99112,0.99355,0.87143,0.61989,0.27068,0.83395,0.0005546,0.0005546,0.0005546
148,16850.2,0.61103,0.28773,0.83402,0.97832,0.9864,0.9932,0.8707,0.61339,0.27148,0.83166,0.0005447,0.0005447,0.0005447
149,16964.6,0.59857,0.28396,0.8311,0.97452,0.99275,0.99357,0.87553,0.61092,0.26632,0.83036,0.0005348,0.0005348,0.0005348
150,17078.3,0.59583,0.28114,0.82926,0.97533,0.98907,0.99351,0.87216,0.61192,0.271,0.83184,0.0005249,0.0005249,0.0005249
151,17191.6,0.60165,0.28503,0.83086,0.97699,0.98907,0.9937,0.87375,0.61463,0.26609,0.83265,0.000515,0.000515,0.000515
152,17306.1,0.59773,0.27872,0.83006,0.981,0.98566,0.99372,0.87541,0.6103,0.26283,0.83276,0.0005051,0.0005051,0.0005051
153,17421.4,0.60237,0.28033,0.83335,0.9748,0.99112,0.99359,0.86855,0.62691,0.26937,0.83413,0.0004952,0.0004952,0.0004952
154,17535.6,0.58647,0.2766,0.82758,0.98222,0.98429,0.99359,0.87415,0.61092,0.26361,0.8312,0.0004853,0.0004853,0.0004853
155,17650,0.5987,0.28043,0.8309,0.98094,0.9841,0.99355,0.87434,0.61067,0.26447,0.83064,0.0004754,0.0004754,0.0004754
156,17764.9,0.58429,0.2767,0.83117,0.97809,0.99112,0.99372,0.87083,0.61314,0.26513,0.83207,0.0004655,0.0004655,0.0004655
157,17879.2,0.59041,0.28042,0.82728,0.97533,0.99044,0.99357,0.8721,0.61525,0.26673,0.8339,0.0004556,0.0004556,0.0004556
158,17993.5,0.58993,0.27813,0.82881,0.97708,0.99019,0.99366,0.86969,0.61062,0.26495,0.83253,0.0004457,0.0004457,0.0004457
159,18107.2,0.59069,0.27778,0.83021,0.97512,0.99037,0.99364,0.86782,0.62627,0.2672,0.83556,0.0004358,0.0004358,0.0004358
160,18221.8,0.58326,0.27438,0.82969,0.97244,0.98819,0.9935,0.87068,0.61669,0.27056,0.83358,0.0004259,0.0004259,0.0004259
161,18335.8,0.58861,0.27792,0.83025,0.97768,0.98726,0.99379,0.86832,0.61346,0.2674,0.83384,0.000416,0.000416,0.000416
162,18451.1,0.58103,0.27289,0.82594,0.97444,0.98941,0.99374,0.87042,0.61328,0.26499,0.8313,0.0004061,0.0004061,0.0004061
163,18565.3,0.58042,0.27422,0.8314,0.97805,0.98702,0.99355,0.8714,0.60893,0.26414,0.83168,0.0003962,0.0003962,0.0003962
164,18679,0.59462,0.279,0.8351,0.97469,0.98975,0.99334,0.87115,0.61504,0.26728,0.83255,0.0003863,0.0003863,0.0003863
165,18792.5,0.5827,0.2745,0.82783,0.97382,0.99072,0.99343,0.87005,0.6195,0.26708,0.83354,0.0003764,0.0003764,0.0003764
166,18907.2,0.57775,0.2718,0.828,0.97373,0.99249,0.99367,0.87203,0.61702,0.26662,0.83436,0.0003665,0.0003665,0.0003665
167,19021.4,0.58433,0.27185,0.82824,0.97436,0.99317,0.99364,0.87343,0.6116,0.26263,0.8325,0.0003566,0.0003566,0.0003566
168,19136.2,0.58037,0.27018,0.82624,0.9816,0.98412,0.99372,0.87404,0.60912,0.26113,0.8311,0.0003467,0.0003467,0.0003467
169,19249.8,0.57176,0.26879,0.82809,0.9816,0.9839,0.99343,0.86744,0.61843,0.26624,0.8332,0.0003368,0.0003368,0.0003368
170,19363.8,0.56605,0.26785,0.82167,0.9758,0.99156,0.99348,0.87352,0.61307,0.26195,0.83129,0.0003269,0.0003269,0.0003269
171,19477.8,0.58397,0.27305,0.83061,0.97649,0.98907,0.99341,0.8739,0.61015,0.26307,0.83174,0.000317,0.000317,0.000317
172,19593.3,0.5701,0.26906,0.82438,0.97709,0.9904,0.99354,0.87227,0.61451,0.26141,0.83204,0.0003071,0.0003071,0.0003071
173,19707.4,0.57336,0.2662,0.82671,0.97729,0.98975,0.99345,0.87244,0.61438,0.26222,0.83085,0.0002972,0.0002972,0.0002972
174,19820.7,0.56677,0.26567,0.82337,0.98091,0.98258,0.99354,0.87393,0.61508,0.26209,0.83202,0.0002873,0.0002873,0.0002873
175,19934.5,0.56968,0.2669,0.823,0.97707,0.98971,0.99366,0.87629,0.60747,0.26127,0.8305,0.0002774,0.0002774,0.0002774
176,20049.3,0.56958,0.26635,0.82812,0.97772,0.98898,0.9936,0.8753,0.61356,0.26146,0.83211,0.0002675,0.0002675,0.0002675
177,20164.4,0.55663,0.26373,0.82349,0.97646,0.99173,0.9937,0.87001,0.62094,0.26311,0.83291,0.0002576,0.0002576,0.0002576
178,20278.7,0.5697,0.26336,0.82858,0.98365,0.97951,0.99353,0.86962,0.62033,0.26093,0.8351,0.0002477,0.0002477,0.0002477
179,20392.4,0.56331,0.26359,0.82428,0.9822,0.98025,0.99332,0.87348,0.61823,0.2618,0.83253,0.0002378,0.0002378,0.0002378
180,20506.6,0.56654,0.26505,0.8249,0.97653,0.98907,0.99359,0.86884,0.62782,0.26453,0.83488,0.0002279,0.0002279,0.0002279
181,20621.1,0.56521,0.26368,0.82499,0.97549,0.99112,0.99357,0.87269,0.61899,0.26159,0.83392,0.000218,0.000218,0.000218
